X.libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX1383031	9.87366753	0.266327	0.273439461798092	0.163193019912136	0.185957058520209	53.3954903127686	16150	30246	71.6868294909838	15703	21905	22.8117201220076	4936	21638	0.05	9544	Macaca mulatta
SRX1383032	9.87366753	0.265981	0.273662851235417	0.159186315377111	0.181547074055539	54.2815578919527	16418	30246	72.6181237160466	15907	21905	23.4725945096589	5079	21638	0.05	9544	Macaca mulatta
SRX1383033	9.87366753	0.267415	0.275051434895905	0.167998189335282	0.191541637268245	53.7062752099451	16244	30246	71.9835653960283	15768	21905	23.1306035677974	5005	21638	0.05	9544	Macaca mulatta
SRX1383034	9.87366753	0.284813	0.292466445277279	0.178344431347948	0.202748342140417	54.1757587780202	16386	30246	72.6135585482766	15906	21905	22.964229596081	4969	21638	0.05	9544	Macaca mulatta
SRX1383035	9.87366753	0.272742	0.279778533858763	0.168631414431167	0.191378731569376	54.0005289955697	16333	30246	72.2803013010728	15833	21905	22.9503650984379	4966	21638	0.05	9544	Macaca mulatta
SRX1383036	9.87366753	0.277453	0.284571478875539	0.165102974592433	0.186883783276078	53.7195000991867	16248	30246	71.947044053869	15760	21905	22.7377761345781	4920	21638	0.05	9544	Macaca mulatta
SRX1383037	9.87366753	0.254718	0.261055528155955	0.151763634205289	0.171372039420988	54.0468161079151	16347	30246	72.2300844556037	15822	21905	22.8717996117941	4949	21638	0.05	9544	Macaca mulatta
SRX1383038	9.87366753	0.243325	0.249334996399347	0.149921672055778	0.169637502216823	53.8087681015672	16275	30246	72.1205204291258	15798	21905	23.1537110638691	5010	21638	0.05	9544	Macaca mulatta
SRX1383039	9.87366753	0.218791336	0.223440674091753	0.142251960178323	0.159783827699757	52.7970640745884	15969	30246	70.9518374800274	15542	21905	22.4512431832887	4858	21638	0.05	9544	Macaca mulatta
SRX1383040	9.87366753	0.239608	0.245455240304796	0.146143018022789	0.1649935504205	53.4351649804933	16162	30246	71.5727002967359	15678	21905	22.844070616508	4943	21638	0.05	9544	Macaca mulatta
