id	call
ENSMUSG00000015890	present
ENSMUSG00000015932	present
ENSMUSG00000015937	present
ENSMUSG00000015943	present
ENSMUSG00000015947	present
ENSMUSG00000015950	present
ENSMUSG00000015961	present
ENSMUSG00000015966	present
ENSMUSG00000015970	present
ENSMUSG00000015971	present
ENSMUSG00000015994	present
ENSMUSG00000016018	present
ENSMUSG00000016024	present
ENSMUSG00000016128	present
ENSMUSG00000016181	present
ENSMUSG00000016194	present
ENSMUSG00000016206	present
ENSMUSG00000016252	present
ENSMUSG00000016253	present
ENSMUSG00000016256	present
ENSMUSG00000016257	present
ENSMUSG00000016308	present
ENSMUSG00000016319	present
ENSMUSG00000016344	present
ENSMUSG00000016382	present
ENSMUSG00000016409	present
ENSMUSG00000016427	present
ENSMUSG00000016477	present
ENSMUSG00000016481	present
ENSMUSG00000016487	present
ENSMUSG00000016495	present
ENSMUSG00000016510	present
ENSMUSG00000016520	present
ENSMUSG00000016528	present
ENSMUSG00000016534	present
ENSMUSG00000016541	present
ENSMUSG00000016554	present
ENSMUSG00000016619	present
ENSMUSG00000016637	present
ENSMUSG00000016664	present
ENSMUSG00000016756	present
ENSMUSG00000016757	present
ENSMUSG00000016758	present
ENSMUSG00000016831	present
ENSMUSG00000016833	present
ENSMUSG00000016921	present
ENSMUSG00000016933	present
ENSMUSG00000016940	present
ENSMUSG00000016942	present
ENSMUSG00000016946	present
ENSMUSG00000017002	present
ENSMUSG00000017009	present
ENSMUSG00000017057	present
ENSMUSG00000017119	present
ENSMUSG00000017132	present
ENSMUSG00000017144	present
ENSMUSG00000017188	present
ENSMUSG00000017210	present
ENSMUSG00000017221	present
ENSMUSG00000017264	present
ENSMUSG00000017286	present
ENSMUSG00000017288	present
ENSMUSG00000017291	present
ENSMUSG00000017299	present
ENSMUSG00000017307	present
ENSMUSG00000017309	present
ENSMUSG00000017344	present
ENSMUSG00000017386	present
ENSMUSG00000017390	present
ENSMUSG00000017404	present
ENSMUSG00000017418	present
ENSMUSG00000017421	present
ENSMUSG00000017428	present
ENSMUSG00000017446	present
ENSMUSG00000017453	present
ENSMUSG00000017466	present
ENSMUSG00000017485	present
ENSMUSG00000017493	present
ENSMUSG00000017548	present
ENSMUSG00000017561	present
