JH602045.1_25802220_25806852 JH602045.1- 25802220-25806852	38.96
JH602045.1_27293515_27295981 JH602045.1- 27293515-27295981	43.41
JH602045.1_33055044_33056758 JH602045.1- 33055044-33056758	36.56
JH602045.1_33899335_33903723 JH602045.1+ 33899335-33903723	45.36
JH602045.1_34293399_34296818 JH602045.1- 34293399-34296818	33.04
JH602045.1_34301410_34306658 JH602045.1- 34301410-34306658	40.66
JH602045.1_34352241_34358798 JH602045.1- 34352241-34358798	34.77
JH602045.1_35111488_35124786 JH602045.1+ 35111488-35124786	37.24
JH602045.1_35776871_35779706 JH602045.1- 35776871-35779706	36.53
JH602044.1_753443_760709 JH602044.1+ 753443-760709	38.59
JH602044.1_781089_788788 JH602044.1+ 781089-788788	40.66
JH602044.1_1006637_1020304 JH602044.1- 1006637-1020304	42.82
JH602044.1_1265951_1277741 JH602044.1- 1265951-1277741	37.44
JH602044.1_1444027_1445539 JH602044.1+ 1444027-1445539	35.76
JH602044.1_2551118_2565562 JH602044.1+ 2551118-2565562	41.70
JH602044.1_2600536_2618833 JH602044.1- 2600536-2618833	40.17
JH602044.1_3491592_3511591 JH602044.1- 3491592-3511591	41.85
JH602044.1_3697640_3711861 JH602044.1+ 3697640-3711861	47.49
JH602044.1_4077987_4080092 JH602044.1+ 4077987-4080092	36.37
JH602044.1_4086207_4097590 JH602044.1- 4086207-4097590	43.38
JH602044.1_4173439_4193438 JH602044.1+ 4173439-4193438	39.56
JH602044.1_4453703_4463479 JH602044.1+ 4453703-4463479	48.32
JH602044.1_4549179_4557342 JH602044.1+ 4549179-4557342	50.94
JH602044.1_4779082_4780914 JH602044.1+ 4779082-4780914	44.63
JH602044.1_5191497_5194460 JH602044.1+ 5191497-5194460	45.78
JH602044.1_5348983_5352614 JH602044.1- 5348983-5352614	41.22
JH602044.1_5587905_5589168 JH602044.1- 5587905-5589168	44.54
JH602044.1_5656177_5664026 JH602044.1- 5656177-5664026	39.81
JH602044.1_6119544_6124723 JH602044.1+ 6119544-6124723	41.78
JH602044.1_6177065_6183512 JH602044.1- 6177065-6183512	36.60
JH602044.1_6306357_6316984 JH602044.1+ 6306357-6316984	52.10
JH602044.1_7057657_7059036 JH602044.1- 7057657-7059036	34.49
JH602044.1_8071835_8081394 JH602044.1- 8071835-8081394	47.74
JH602044.1_8354537_8363818 JH602044.1- 8354537-8363818	48.51
JH602044.1_8397765_8412929 JH602044.1+ 8397765-8412929	55.34
JH602044.1_8486352_8493758 JH602044.1- 8486352-8493758	50.63
JH602044.1_8852487_8872486 JH602044.1+ 8852487-8872486	43.33
JH602044.1_10889025_10895904 JH602044.1+ 10889025-10895904	42.08
JH602044.1_13792845_13797207 JH602044.1+ 13792845-13797207	39.40
JH602044.1_14193488_14203427 JH602044.1- 14193488-14203427	42.41
JH602044.1_14253477_14263797 JH602044.1- 14253477-14263797	47.73
JH602044.1_14332874_14341904 JH602044.1- 14332874-14341904	49.49
JH602044.1_14355097_14359336 JH602044.1+ 14355097-14359336	41.96
JH602044.1_14788083_14789883 JH602044.1+ 14788083-14789883	36.42
JH602044.1_14834129_14838060 JH602044.1+ 14834129-14838060	40.11
JH602044.1_16096873_16116872 JH602044.1+ 16096873-16116872	39.79
JH602044.1_16346608_16352002 JH602044.1+ 16346608-16352002	39.41
JH602044.1_16473544_16477556 JH602044.1+ 16473544-16477556	35.11
JH602044.1_17847939_17850616 JH602044.1- 17847939-17850616	40.33
JH602044.1_18215507_18217154 JH602044.1+ 18215507-18217154	47.69
JH602044.1_18281719_18282733 JH602044.1- 18281719-18282733	37.54
JH602044.1_18906535_18915577 JH602044.1- 18906535-18915577	39.63
JH602044.1_18974597_18977155 JH602044.1+ 18974597-18977155	42.83
JH602044.1_23587174_23596824 JH602044.1- 23587174-23596824	38.23
JH602044.1_26150047_26153119 JH602044.1+ 26150047-26153119	48.65
JH602044.1_26807723_26819517 JH602044.1+ 26807723-26819517	35.20
JH602044.1_27535937_27541533 JH602044.1- 27535937-27541533	36.38
JH602044.1_27604945_27610319 JH602044.1- 27604945-27610319	40.47
JH602044.1_27615800_27619535 JH602044.1- 27615800-27619535	33.57
JH602044.1_27916368_27927870 JH602044.1+ 27916368-27927870	36.10
JH602044.1_28366922_28371207 JH602044.1+ 28366922-28371207	37.80
JH602044.1_28489029_28492729 JH602044.1+ 28489029-28492729	40.37
JH602044.1_28774202_28784514 JH602044.1- 28774202-28784514	41.80
JH602044.1_28972153_28975731 JH602044.1+ 28972153-28975731	43.36
JH602044.1_34177789_34193716 JH602044.1- 34177789-34193716	37.26
JH602044.1_34193817_34197788 JH602044.1- 34193817-34197788	38.85
JH602044.1_34566637_34571393 JH602044.1- 34566637-34571393	41.94
JH602044.1_35642553_35644772 JH602044.1- 35642553-35644772	30.00
JH602044.1_35936157_35944044 JH602044.1- 35936157-35944044	34.69
JH602044.1_36450777_36457168 JH602044.1- 36450777-36457168	39.46
JH602044.1_36872701_36883577 JH602044.1- 36872701-36883577	37.78
JH602044.1_36964780_36966267 JH602044.1- 36964780-36966267	35.08
JH602044.1_39210719_39212087 JH602044.1+ 39210719-39212087	37.91
JH602044.1_39474331_39475367 JH602044.1+ 39474331-39475367	52.65
JH602044.1_39965309_39966474 JH602044.1- 39965309-39966474	50.00
JH602044.1_40515641_40516652 JH602044.1- 40515641-40516652	35.87
JH602044.1_40884613_40886091 JH602044.1- 40884613-40886091	43.27
JH602044.1_41124426_41126197 JH602044.1- 41124426-41126197	36.91
