id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0039665	4.010687961	8.587142982	6.495867913	7.060438115
FBgn0039666	0	0.996615841	0.337497672	1.432912812
FBgn0039667	1.231451385	0.77657425	0.108011639	0.31505633
FBgn0039668	171.3641149	197.3341568	127.2711205	129.4064319
FBgn0039669	88.39996292	31.09861244	103.126272	105.6878065
FBgn0039670	6.43129679	3.305606934	0.126864119	0.111069571
FBgn0039671	0.260828807	0	0	0
FBgn0039673	0	0	0.511247629	0.302575789
FBgn0039674	24.29432612	14.23117967	6.826153392	5.387733091
FBgn0039675	0	0	0.103616417	0
FBgn0039676	0	0.336300004	0.28690242	0.720619208
FBgn0039677	2.30156248	0.163628595	3.468737078	2.296560693
FBgn0039678	1458.788156	922.413449	748.7596371	806.6143442
FBgn0039679	3.782979202	5.871052232	7.778265154	7.201803908
FBgn0039680	0.37959745	1.998991319	2.344893781	1.472070209
FBgn0039681	0.996555081	1.953413029	1.677426122	2.43914253
FBgn0039682	115.2558123	63.64417746	1.650165936	1.163435223
FBgn0039683	0	0	0.064153179	0.083458212
FBgn0039684	3.250406814	0	0.230234461	0
FBgn0039685	10.61605321	5.755408991	0	0
FBgn0039686	8.688382817	48.86383335	20.27666706	18.53580325
FBgn0039687	18.00730769	57.92885026	38.19831547	35.58819843
FBgn0039688	1.223152726	4.866464249	2.233125743	1.636532224
FBgn0039689	56.80487477	89.06087802	35.26357884	38.18068291
FBgn0039690	7.676123506	5.528800597	2.015911081	1.772214336
FBgn0039691	3.350360779	5.618160659	3.747269873	3.055972346
FBgn0039694	265.8139075	154.0284214	213.7682942	310.6270201
FBgn0039696	3.452120706	5.143960754	3.301750116	2.717573355
FBgn0039697	67.96309234	36.80238653	9.443505332	9.324503192
FBgn0039698	6.147808017	4.439333779	3.083751717	2.168719902
FBgn0039702	5.243208188	2.920051914	1.870683189	1.734550431
FBgn0039703	0	0	0	0.156079546
FBgn0039704	0.39898271	0.374262966	0.177013597	0.132794044
FBgn0039705	85.68519054	99.63229525	117.8655097	108.5212359
FBgn0039707	263.2047436	216.5286988	322.8406468	326.3263338
FBgn0039709	0.353399108	0.628197016	0.486480867	0.739436785
FBgn0039710	14.6907529	13.50316312	18.72642042	15.14341999
FBgn0039711	1.918202571	4.358757065	2.299722436	1.805569643
FBgn0039712	27.85076279	33.78788874	11.96226142	11.90929047
FBgn0039713	916.2864502	476.2340773	277.3209275	229.0933135
FBgn0039714	113.2014596	111.3158533	264.5814565	273.1319707
FBgn0039718	0	0.645683183	1.382099914	1.204947481
FBgn0039719	0	3.212730865	2.129560338	2.061597861
FBgn0039722	0.319373127	1.02109473	0	0
FBgn0039723	0	0	0.059893322	0
FBgn0039726	16.33752163	17.57577224	12.92023154	11.37147453
FBgn0039727	8.531478707	27.06320545	91.9275924	91.05905921
FBgn0039728	0.167226204	0.165395442	0.391533863	0.179492311
FBgn0039730	6.349542219	28.64883211	12.71448668	8.892084901
FBgn0039731	10.30518341	19.34966295	18.52923465	15.79967131
FBgn0039732	52.67844587	53.6008342	26.36778216	26.84703226
FBgn0039733	45.86644223	51.39770491	19.36911616	18.21599106
