libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX815515	0.240431	41.1553358055212	24971	60675	74.4404946678015	14868	19973	1.01493119937543	208	20494	pValueCutoff	0.01	0.027503968677316	2.5394525198635
SRX815515	0.127402	46.7919241862382	28391	60675	78.7062534421469	15720	19973	3.64008978237533	746	20494	pValueCutoff	0.05	0.027503968677316	2.5394525198635
SRX815515	0.158881	44.9311907704986	27262	60675	77.3644419966955	15452	19973	2.14696984483263	440	20494	qValueCutoff	0.05	NA	NA
SRX815516	0.3969066	34.5348166460651	20954	60675	69.3536273969859	13852	19973	0.156143261442373	32	20494	pValueCutoff	0.001	0.021389714427592	2.57284256857086
SRX815516	0.192739	41.5113308611454	25187	60675	74.4204676313023	14864	19973	0.917341660973944	188	20494	pValueCutoff	0.01	0.021389714427592	2.57284256857086
SRX815516	0.101242	47.6341161928307	28902	60675	78.4909627997797	15677	19973	3.33268273641066	683	20494	pValueCutoff	0.05	0.021389714427592	2.57284256857086
SRX815516	0.12206	45.9414915533581	27875	60675	77.3344014419466	15446	19973	2.33238996779545	478	20494	qValueCutoff	0.05	NA	NA
SRX815517	0.431063	35.1693448702101	21339	60675	69.7741951634707	13936	19973	0.224455938323412	46	20494	pValueCutoff	0.001	0.0257947681743626	2.48724411856346
SRX815517	0.214889	41.9217140502678	25436	60675	74.3653932809293	14853	19973	0.971015907094759	199	20494	pValueCutoff	0.01	0.0257947681743626	2.48724411856346
SRX815517	0.115489	47.6769674495262	28928	60675	78.5360236319031	15686	19973	3.50834390553333	719	20494	pValueCutoff	0.05	0.0257947681743626	2.48724411856346
SRX815517	0.140907	45.9299546765554	27868	60675	77.2342662594503	15426	19973	2.33238996779545	478	20494	qValueCutoff	0.05	NA	NA
SRX815518	0.39045904	35.4231561598681	21493	60675	71.2461823461673	14230	19973	0.17566116912267	36	20494	pValueCutoff	0.001	0.0211975617906974	2.56697153332525
SRX815518	0.189995	42.4194478780387	25738	60675	76.1477995293646	15209	19973	0.941739045574314	193	20494	pValueCutoff	0.01	0.0211975617906974	2.56697153332525
SRX815518	0.100007	48.1318500206016	29204	60675	79.972963500726	15973	19973	3.36683907485118	690	20494	pValueCutoff	0.05	0.0211975617906974	2.56697153332525
SRX815518	0.118438	46.6716110424392	28318	60675	79.0316927852601	15785	19973	2.27871572167464	467	20494	qValueCutoff	0.05	NA	NA
ERX012346	0.457715	26.4494386072413	14676	55487	54.6635667396061	11991	21936	0.400256163944925	125	31230	pValueCutoff	0.001	0.0100693368757939	3.43869089030569
ERX012346	0.178196	30.7477427145097	17061	55487	59.4411013858497	13039	21936	1.28722382324688	402	31230	pValueCutoff	0.01	0.0100693368757939	3.43869089030569
ERX012346	0.0768012	34.173770432714	18962	55487	63.2521881838074	13875	21936	3.65994236311239	1143	31230	pValueCutoff	0.05	0.0100693368757939	3.43869089030569
ERX012346	0.176363	30.7964027610071	17088	55487	59.4958059810357	13051	21936	1.30963816842779	409	31230	qValueCutoff	0.05	NA	NA
ERX012361	0.585668	24.9770216447096	13859	55487	52.5483223924143	11527	21936	0.406660262568044	127	31230	pValueCutoff	0.001	0.0128492057055967	3.44174688563248
ERX012361	0.227865	29.0860922378215	16139	55487	57.5218818380744	12618	21936	1.25200128081972	391	31230	pValueCutoff	0.01	0.0128492057055967	3.44174688563248
ERX012361	0.0981339	32.6004289292988	18089	55487	61.6475200583516	13523	21936	3.70797310278578	1158	31230	pValueCutoff	0.05	0.0128492057055967	3.44174688563248
ERX012361	0.236735	28.9256943067746	16050	55487	57.3532093362509	12581	21936	1.20717259045789	377	31230	qValueCutoff	0.05	NA	NA
ERX012364	0.5867055	25.296015282859	14036	55487	52.9494894237783	11615	21936	0.413064361191162	129	31230	pValueCutoff	0.001	0.012915650445912	3.43788107726458
ERX012364	0.228531	29.4897904013553	16363	55487	57.9504011670314	12712	21936	1.32244636567403	413	31230	pValueCutoff	0.01	0.012915650445912	3.43788107726458
ERX012364	0.0985272	32.9428514787247	18279	55487	61.925601750547	13584	21936	3.74959974383606	1171	31230	pValueCutoff	0.05	0.012915650445912	3.43788107726458
ERX012364	0.241667	29.2699190801449	16241	55487	57.7179066374909	12661	21936	1.20397054114633	376	31230	qValueCutoff	0.05	NA	NA
ERX012370	0.371765	26.9306324003821	14943	55487	55.2470824215901	12119	21936	0.457893051552994	143	31230	pValueCutoff	0.001	0.00882979027139423	3.35360696838886
ERX012370	0.147598	31.3118388090904	17374	55487	59.9881473377097	13159	21936	1.33205251360871	416	31230	pValueCutoff	0.01	0.00882979027139423	3.35360696838886
ERX012370	0.064623	34.4549173680321	19118	55487	63.5758570386579	13946	21936	3.68555875760487	1151	31230	pValueCutoff	0.05	0.00882979027139423	3.35360696838886
ERX012370	0.147676	31.3100365851461	17373	55487	59.9835886214442	13158	21936	1.33205251360871	416	31230	qValueCutoff	0.05	NA	NA
ERX012375	0.579664	25.892551408438	14367	55487	53.4327133479212	11721	21936	0.470701248799231	147	31230	pValueCutoff	0.001	0.0142623362486351	3.31629304970895
ERX012375	0.232028	30.4503757636924	16896	55487	58.6068563092633	12856	21936	1.50176112712136	469	31230	pValueCutoff	0.01	0.0142623362486351	3.31629304970895
ERX012375	0.10247	34.2909149890965	19027	55487	62.6048504741065	13733	21936	4.17867435158501	1305	31230	pValueCutoff	0.05	0.0142623362486351	3.31629304970895
ERX012375	0.258447	29.9205219240543	16602	55487	58.0142231947484	12726	21936	1.28402177393532	401	31230	qValueCutoff	0.05	NA	NA
