libraryId	proportionCodingPresent	proportionGenicPresent	speciesId	organism
SRX081914	54.8687089715536	24.4994322994575	10090	Mus musculus
SRX081915	53.7244711889132	23.7352893470543	10090	Mus musculus
SRX081916	55.8989788475565	25.2924108349704	10090	Mus musculus
SRX081917	46.2983223924143	20.2642060302413	10090	Mus musculus
SRX081918	46.9502188183807	20.1903148485231	10090	Mus musculus
SRX081919	45.5187819110139	19.9217834808153	10090	Mus musculus
SRX081920	59.7100656455142	30.7189071314001	10090	Mus musculus
SRX081921	58.1646608315098	29.5510660154631	10090	Mus musculus
SRX081922	59.7934324487055	38.4285391736284	9544	Macaca mulatta
SRX081923	60.2612199527581	38.7531045382705	9544	Macaca mulatta
SRX081924	58.0797554536612	40.1868367577331	9544	Macaca mulatta
SRX081925	61.0578481774814	39.9356513885753	9544	Macaca mulatta
SRX081926	60.8031124079478	39.59697448634	9544	Macaca mulatta
SRX081927	42.1564540780881	26.4901783698352	9544	Macaca mulatta
SRX081928	50.9286276689361	32.2505080153534	9544	Macaca mulatta
SRX081929	57.0237598999583	36.4077669902913	9544	Macaca mulatta
SRX081930	48.6082163864573	30.7321065703319	9544	Macaca mulatta
SRX081931	47.9134824695475	30.0857981485663	9544	Macaca mulatta
SRX081932	43.8562363947941	27.5682998419508	9544	Macaca mulatta
SRX081933	63.3134176277153	42.1455181756604	9544	Macaca mulatta
SRX081934	57.0469176971886	37.4209753894784	9544	Macaca mulatta
SRX081944	61.3100477139019	45.1701901342907	9593	Gorilla gorilla
SRX081945	62.2226339926808	48.9529317909852	9593	Gorilla gorilla
SRX081946	59.9249548339278	44.3092673846563	9593	Gorilla gorilla
SRX081947	59.3273729559457	43.950272570137	9593	Gorilla gorilla
SRX081948	35.3685088247556	25.8974870362984	9593	Gorilla gorilla
SRX081949	30.1431417056562	22.0914771971812	9593	Gorilla gorilla
SRX081950	59.5173020799555	44.0799095864912	9593	Gorilla gorilla
SRX081951	55.1072404688007	40.7592075521872	9593	Gorilla gorilla
SRX081952	49.3769398248946	36.5376944555245	9593	Gorilla gorilla
SRX081953	51.6468244776949	38.2794841111554	9593	Gorilla gorilla
SRX081954	69.0415527863992	52.1672649913575	9593	Gorilla gorilla
SRX081955	59.891854776414	42.6191111506419	9598	Pan troglodytes
SRX081956	56.9650673761909	43.1083044264579	9598	Pan troglodytes
SRX081957	48.8756329928761	37.3417533872928	9598	Pan troglodytes
SRX081958	55.3085572053901	42.0172551810015	9598	Pan troglodytes
SRX081959	56.3084713758476	43.339559429571	9598	Pan troglodytes
SRX081960	55.9479872972277	42.9541344243826	9598	Pan troglodytes
SRX081961	60.5184104368724	43.2387559666756	9598	Pan troglodytes
SRX081962	57.4800446313621	41.142636899997	9598	Pan troglodytes
SRX081963	42.8160672903613	30.2795813691482	9598	Pan troglodytes
SRX081964	38.9751952622092	27.4363307539506	9598	Pan troglodytes
SRX081965	55.8921980945842	39.826262266892	9598	Pan troglodytes
SRX081966	55.9694446828598	39.8084734204987	9598	Pan troglodytes
SRX081967	47.0131319200069	33.2503187168312	9598	Pan troglodytes
SRX081968	45.9831774096644	32.5743425538854	9598	Pan troglodytes
SRX081969	62.6684404772123	45.6224613833793	9598	Pan troglodytes
SRX081970	58.0913454683713	43.8396457135303	9597	Pan paniscus
SRX081971	58.0818402167197	41.4766342785379	9597	Pan paniscus
SRX081972	61.6082885794401	44.0842091347743	9597	Pan paniscus
SRX081973	58.7377025806758	42.1772754312909	9597	Pan paniscus
SRX081974	62.0787985361913	44.7749355542336	9597	Pan paniscus
SRX081975	47.554774012642	33.7596668649613	9597	Pan paniscus
SRX081976	42.4361959982891	30.1507039460638	9597	Pan paniscus
SRX081977	56.5372368233449	40.4653314825831	9597	Pan paniscus
SRX081978	52.9347464474122	37.880891004032	9597	Pan paniscus
SRX081979	47.8161684330593	34.1760856632957	9597	Pan paniscus
SRX081980	50.3208022432394	35.9838720338423	9597	Pan paniscus
SRX081981	66.2611092628677	48.3706788287395	9597	Pan paniscus
SRX081982	65.9690582286086	25.7025133910177	9606	Homo sapiens
SRX081983	63.6359084764432	24.6328800988875	9606	Homo sapiens
SRX081984	67.3959845791819	28.7103419859909	9606	Homo sapiens
SRX081985	65.683672958494	25.8673259167697	9606	Homo sapiens
SRX081986	59.3050618334752	25.2295014421096	9606	Homo sapiens
SRX081987	64.8425374255245	25.5887927482489	9606	Homo sapiens
SRX081988	62.3241375857407	25.180057684384	9606	Homo sapiens
SRX081989	64.191658739298	25.9497321796457	9606	Homo sapiens
SRX081990	51.2642066790167	18.6287597857437	9606	Homo sapiens
SRX081991	55.5149451759876	20.4927894519984	9606	Homo sapiens
SRX081992	55.2746207379963	20.3494025545941	9606	Homo sapiens
SRX081993	60.4215691183097	22.8018129377833	9606	Homo sapiens
SRX081994	56.3711009863315	21.6365883807169	9606	Homo sapiens
SRX081995	55.7302358183548	21.0070045323445	9606	Homo sapiens
SRX081996	44.6002102838832	16.5224557066337	9606	Homo sapiens
SRX081997	50.2328142993041	18.5529460238978	9606	Homo sapiens
SRX081998	73.6344064487058	32.0543881334981	9606	Homo sapiens
SRX081999	73.3089671055925	32.4070869386073	9606	Homo sapiens
ERX011215	56.6314524608221	20.4927894519984	9606	Homo sapiens
ERX011220	55.9355129424723	21.1289658014009	9606	Homo sapiens
